study_id,Species,Date,Treatment,mean_ctrl,SD_ctrl,N_ctrl,mean_trt,SD_trt,N_trt
Picea abies ,Picea abies ,1994,Unfert,107,20.1,5,91,29.8,5
Picea abies ,Picea abies ,1994,Fert,103,8.6,4,107,38.9,4
Picea abies ,Picea abies ,1994,Unfert,134,22.6,6,126,24.4,6
Picea abies ,Picea abies ,1994,Fert,157,20.9,6,149,45.1,6
Picea abies,Picea abies,1996,Unfert,47,,1,48,,1
Picea abies,Picea abies,1996,Fert,75,,1,53,,1
Picea abies,Picea abies,1996,Unfert,101,,1,104,,1
Picea abies,Picea abies,1996,Fert,126,,1,82,,1
Picea sitchensis,Picea sitchensis,1993,C+1,75,28.1,6,30,3.4,3
Picea sitchensis,Picea sitchensis,1993,C+1,77,52.1,4,74,57.1,4
Picea sitchensis,Picea sitchensis,1993,C+1,89,56.3,5,56,28.7,5
Picea sitchensis,Picea sitchensis,1993,C+1,79,34.6,6,56,35.7,6
Picea sitchensis,Picea sitchensis,1993,C+1,93,38.8,6,47,25.5,6
Picea sitchensis,Picea sitchensis,1993,C,143,40.4,6,108,42.3,6
Picea sitchensis,Picea sitchensis,1993,C,117,51.8,4,124,35.5,3
Picea sitchensis,Picea sitchensis,1993,C,112,32.8,5,120,74.1,5
Picea sitchensis,Picea sitchensis,1993,C,98,30.9,6,94,39.6,6
Picea sitchensis,Picea sitchensis,1993,C,67,26.2,6,73,45.6,6
Pinus sylvestris,Pinus sylvestris,1994,AmbT,145,10.6,4,121,10.4,4
Pinus sylvestris,Pinus sylvestris,1994,ElevT,152,8.7,4,142,9.3,4
Quercus ilex,Quercus ilex,1994,,153,53,2,135,0,2
Pistacia lentiscus,Pistacia lentiscus,1994,,305,14.1,2,183,102.5,2
Phillyrea angustifolia,Phillyrea angustifolia,1994,,234,1.8,2,188,,1
Quercus ilex,Quercus ilex,1994,,47,3.8,3,44,7.1,3
Pistacia lentiscus,Pistacia lentiscus,1994,,105,28.5,3,59,5,3
Phillyrea angustifolia,Phillyrea angustifolia,1994,,103,10.3,3,88,34.9,3
Quercus petraea,Quercus petraea,1996,h20,213,47.5,2,156,37.5,2
Quercus petraea,Quercus petraea,1996,Xh20,152,19.6,2,99,23.7,2
Fraxinus excelsior,Fraxinus excelsior,1996,h20,185,59.4,2,99,11.3,2
Fraxinus excelsior,Fraxinus excelsior,1996,Xh20,68,4.9,2,44,6.3,2
Quercus petraea,Quercus petraea,1998,,175,4.6,4,122,27,4
Quercus robur,Quercus robur,1998,,180,19.3,4,99,17.9,4
Quercus rubra,Quercus rubra,1998,,108,1.8,4,67,15.6,4
Quercus robur,Quercus robur,1996,,131,,1,96,,1
Quercus robur,Quercus robur,1997,,116,,1,102,,1
Quercus robur,Quercus robur,1998,,80,,1,51,,1
Betula pendula,Betula pendula,1994,,289,202.6,5,193,155.6,5
Betula pendula,Betula pendula,1994,,279,102.4,6,235,136,5
Betula pendula,Betula pendula,1994,,220,65.9,6,167,78.9,6
Betula pendula,Betula pendula,1994,,177,39.3,6,103,24.3,6
Populus cv. Beaupr?,Populus cv. Beaupr?,1995,,214,18.4,2,200,2.3,2
Populus cv. Beaupr?,Populus cv. Beaupr?,1995,,244,10,2,222,24.9,2
Populus cv. Beaupr?,Populus cv. Beaupr?,1995,,231,3.3,2,203,7.9,2
Populus cv. Beaupr?,Populus cv. Beaupr?,1995,,243,9,2,217,41.5,2
Populus trichocarpa,Populus trichocarpa,1996,Unfert,143,43.2,4,153,9.6,4
Populus trichocarpa,Populus trichocarpa,1996,Unfert,239,89,4,260,21.6,4
Populus trichocarpa,Populus trichocarpa,1996,Unfert,352,20.1,4,400,114,4
Populus trichocarpa,Populus trichocarpa,1996,Unfert,344,76.3,4,448,109,4
Populus trichocarpa,Populus trichocarpa,1996,Unfert,346,62.6,4,400,263.4,4
Populus trichocarpa,Populus trichocarpa,1996,Fert,239,105.9,4,150,48.5,4
Populus trichocarpa,Populus trichocarpa,1996,Fert,377,33.8,4,375,53.8,4
Populus trichocarpa,Populus trichocarpa,1996,Fert,555,145.4,4,493,106.1,4
Populus trichocarpa,Populus trichocarpa,1996,Fert,507,76.7,4,437,71.1,4
Populus trichocarpa,Populus trichocarpa,1996,Fert,589,77,4,512,116.3,4
Fagus sylvatica,Fagus sylvatica,1994,,88,,1,67,,1
Fagus sylvatica,Fagus sylvatica,1995,,74,,1,42,,1
Fagus sylvatica,Fagus sylvatica,1996,,91,,1,78,,1
Fagus sylvatica,Fagus sylvatica,1997,,74,,1,62,,1
Fagus sylvatica,Fagus sylvatica,1996,,179,72.1,8,171,61.6,8
