obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Comeau et al. 2014a,2014,1.02,0.158113883,10,0.84,0.221359436,10
obs002,Comeau et al. 2014a,2014,1.02,0.158113883,10,0.84,0.221359436,10
obs003,Comeau et al. 2014a,2014,0.384,0.126491106,10,0.256,0.110679718,10
obs004,Comeau et al. 2014a,2014,0.384,0.126491106,10,0.256,0.110679718,10
obs005,Edmunds 2011,2011,1.508,0.306740933,10,1.45,0.442718872,10
obs006,Edmunds 2011,2011,0.994,0.085381497,10,0.98,0.284604989,10
obs007,Edmunds 2011,2011,0.997,0.129653384,10,0.97,0.284604989,10
obs008,Edmunds 2011,2011,1.742,0.483828482,10,2.96,1.58113883,10
obs009,Holcomb et al 2012,2012,0.00181,0.0007,4,0.00174,0.00137,5
obs010,Holcomb et al 2012,2012,0.00164,0.00049,5,0.00274,0.00118,5
obs011,Reynaud et al 2003,2003,0.41,0.072732386,10,0.55,0.063245553,10
obs012,Rodolfo-Metalpa et al. 2006,2006,248.8,33.98823326,5,269.4,34.88266045,5
obs013,Rodolfo-Metalpa et al. 2006,2006,102.8,50.31152949,5,143.2,9.391485505,5
obs014,Rodolfo-Metalpa et al. 2006,2006,98,27.05642253,5,124.3,14.08722826,5
obs015,Rodolfo-Metalpa et al. 2006,2006,34.7,7.155417528,5,43.9,17.88854382,5
obs016,Schoepf et al 2013,2013,0.076,0.040249224,5,0.0597,0.020571825,5
obs017,Schoepf et al 2013,2013,0.076,0.040249224,5,0.0597,0.020571825,5
obs018,Schoepf et al 2013,2013,0.07,0.017888544,5,0.141,0.04472136,5
obs019,Schoepf et al 2013,2013,0.07,0.017888544,5,0.141,0.04472136,5
obs020,Schoepf et al 2013,2013,0.367,0.145344419,5,0.346,0.138636215,5
obs021,Schoepf et al 2013,2013,0.367,0.145344419,5,0.346,0.138636215,5
obs022,Schoepf et al 2013,2013,0.241,0.055901699,5,0.194,0.125219807,5
obs023,Schoepf et al 2013,2013,0.241,0.055901699,5,0.194,0.125219807,5
obs024,Inoue et al 2012,2012,1.302,0.313065488,10,1.413,0.275118156,10
obs025,Inoue et al 2012,2012,1.384,0.294091822,10,1.012,0.325714599,10
obs026,Putnam & Edmunds 2011,2011,7.9,2.529822128,10,6,1.897366596,10
obs027,Putnam & Edmunds 2011,2011,1.8,1.106797181,10,1,1.897366596,10
obs028,Kavousi et al. 2015,2015,0.788,0.1,6,0.717,0.085653846,6
obs029,Kavousi et al. 2015,2015,0.762,0.061538462,6,0.716884615,0.137076923,6
obs030,Kavousi et al. 2015,2015,0.704,0.1,6,0.414115385,0.165653846,6
obs031,Kavousi et al. 2015,2015,0.973,0.080769231,6,0.637807692,0.092769231,6
obs032,Kavousi et al. 2015,2015,1.050307692,0.138038462,6,0.991115385,0.409269231,6
obs033,Kavousi et al. 2015,2015,1.249,0.101076923,6,1.268384615,0.241153846,6
obs034,Kavousi et al. 2015,2015,0.673,0.084615385,6,0.745423077,0.137115385,6
obs035,Kavousi et al. 2015,2015,0.708,0.088461538,6,0.636884615,0.074269231,6
obs036,Kavousi et al. 2015,2015,0.7,0.15,6,0.711153846,0.074230769,6
obs037,Anthony et al. 2008,2008,0.403933333,0.075910474,15,0.324,0.098761075,15
obs038,Anthony et al. 2008,2008,0.403933333,0.075910474,15,0.324,0.098761075,15
obs039,Anthony et al. 2008,2008,0.405866667,0.159566914,15,0.316,0.136587213,15
obs040,Anthony et al. 2008,2008,0.405866667,0.159566914,15,0.316,0.136587213,15
